Location number,Month,State,Gross revenue,Fixed cost,Variable cost,Rental cost,Number of products,Owned
6,9,IL,6944378.405,3017377.42,3533644.08,32790,4373,FALSE
6,10,IL,7032917.222,2404697.15,4123095.39,32790,4373,FALSE
6,11,IL,8917148.898,2431254.3,5244973.3,32790,4373,FALSE
6,12,IL,13020644.4,3098986.99,8432675.13,32790,4373,FALSE
7,1,IL,21116136.18,5537765.49,12756853.52,67410,4495,FALSE
7,2,IL,27682803.55,5169013.88,15793140.76,67410,4495,FALSE
7,3,IL,34513429.45,5766870.65,19785300.87,67410,4495,FALSE
7,4,IL,24944394.46,5630799.24,13455815.25,67410,4495,FALSE
7,5,IL,28932913.89,5700748.95,15627860.68,67410,4495,FALSE
7,6,IL,31157233.78,7520678.36,17187182.22,67410,4495,FALSE
7,7,IL,21438145.13,6141305.6,11543972.44,67410,4495,FALSE
7,8,IL,24917142.73,5833776.79,13185063.96,67410,4495,FALSE
7,9,IL,29893243.53,6781010.17,15669589.04,67410,4495,FALSE
7,10,IL,24178562.74,5630311.26,12750908.81,67410,4495,FALSE
7,11,IL,24010289.62,5767990.8,13591779.67,67410,4495,FALSE
7,12,IL,28998762.1,6903800.88,16999237.65,67410,4495,FALSE
8,1,GA,22784037.69,6843187.27,12866269.38,174550,4506,FALSE
8,2,GA,22030072.12,4240952.77,12749872.74,174550,4506,FALSE
8,3,GA,31471755.36,6982335.42,16663451.2,174550,4506,FALSE
8,4,GA,23726776.77,5418066.59,12541976.41,174550,4506,FALSE
8,5,GA,20726295.71,5174935.66,10774447.8,174550,4506,FALSE
8,6,GA,26681240.17,6608677.55,14280496.44,174550,4506,FALSE
8,7,GA,20266245.16,5755929.97,11255717.86,174550,4506,FALSE
8,8,GA,28998570.73,6062346.72,16205894.17,174550,4506,FALSE
8,9,GA,25510630.74,6440164.32,13594440.18,174550,4506,FALSE
8,10,GA,24474952.54,5102471.97,14199428.16,174550,4506,FALSE
8,11,GA,21731930.16,5410769.96,11497187.65,174550,4506,FALSE
8,12,GA,31250818.1,7281616.3,17921056.05,174550,4506,FALSE
9,1,CA,81007485.44,12986731.72,39868399.14,0,4789,TRUE
9,2,CA,69223934.11,11674928.03,35385616.21,0,4789,TRUE
9,3,CA,59653802.94,13193740.69,31918596.81,0,4789,TRUE
9,4,CA,44529214.38,9703424.06,22862186.42,0,4789,TRUE
9,5,CA,61752815.81,9983728.1,29305351.89,0,4789,TRUE
9,6,CA,74682004.9,13408864.97,30270252.13,0,4789,TRUE
9,7,CA,73143487.18,11201665.26,25273883.88,0,4789,TRUE
9,8,CA,73718893.6,11505596.89,29525233.43,0,4789,TRUE
9,9,CA,83016711.1,14452157.43,37157762.2,0,4789,TRUE
9,10,CA,57981369.04,10435011.28,27918029.6,0,4789,TRUE
9,11,CA,59013587.17,10647755.6,29715009.85,0,4789,TRUE
9,12,CA,75194656.86,11121866.89,38821654.72,0,4789,TRUE
10,1,TX,21026806.21,4284816.29,10661519.74,108720,4544,FALSE
10,2,TX,21702990.43,5323011.08,10338784.54,108720,4544,FALSE
10,3,TX,24973954.96,5233263.23,12095960.1,108720,4544,FALSE
10,4,TX,24665182.77,4377084.69,13122629.93,108720,4544,FALSE
10,5,TX,27087508.3,4778562.25,13642442.98,108720,4544,FALSE
10,6,TX,38171759.17,6318526.87,19588907.71,108720,4544,FALSE
10,7,TX,21930445.45,5206792.22,11110992.36,108720,4544,FALSE
10,8,TX,25154034.36,5289088.33,12402161.75,108720,4544,FALSE
10,9,TX,28892130.89,6186293.01,13800599.69,108720,4544,FALSE
10,10,TX,22449625.22,4567089.94,11625886.59,108720,4544,FALSE
10,11,TX,22399564.95,4673433.21,11466533.55,108720,4544,FALSE
10,12,TX,29620655.15,6488483.28,15268810.61,108720,4544,FALSE
11,1,TX,24100579.58,4661060.87,14457535.17,0,4568,TRUE
11,2,TX,24809293.45,5109675.39,13892080.46,0,4568,TRUE
11,3,TX,27074282.43,4756035.37,14667643.91,0,4568,TRUE
11,4,TX,23077111.96,5026195.86,12359211.61,0,4568,TRUE
11,5,TX,28532041.52,5666970.52,15097994.22,0,4568,TRUE
11,6,TX,28808949.86,6082453.92,15932377.72,0,4568,TRUE
11,7,TX,22384321.63,5398834.05,12233970.74,0,4568,TRUE
11,8,TX,27587535.87,5096585.76,13903747.76,0,4568,TRUE
11,9,TX,21872737.28,7530335.08,11308025.19,0,4568,TRUE
11,10,TX,22697885.9,4764238.96,11816033.39,0,4568,TRUE
11,11,TX,19328219.52,4675440.46,11189963.08,0,4568,TRUE
11,12,TX,38285528.73,5755893.33,20350141.5,0,4568,TRUE
12,1,TX,15333373.56,4125152.29,8383660.67,131130,4257,FALSE
12,2,TX,16423389.35,4438124.17,8936046.62,131130,4257,FALSE
12,3,TX,16046780.99,4025244.89,9332492.5,131130,4257,FALSE
12,4,TX,21399407.74,4152678.64,12118922.23,131130,4257,FALSE
12,5,TX,18587154.1,3228200.41,10737797.09,131130,4257,FALSE
12,6,TX,19686260.54,5131486.88,12877694.64,131130,4257,FALSE
12,7,TX,15985969.93,3818022.87,9916238.05,131130,4257,FALSE
12,8,TX,12984661.99,3667066.15,7638854.34,131130,4257,FALSE
12,9,TX,17828484.75,5593654.55,10887057.93,131130,4257,FALSE
12,10,TX,16333473.94,3264895.52,9940410.59,131130,4257,FALSE
12,11,TX,31191593.65,4309501.08,19023781.85,131130,4257,FALSE
12,12,TX,19634252.57,3723406.62,12134019.34,131130,4257,FALSE
13,1,GA,6208699.812,2608541.89,3702089.22,72060,4289,FALSE
13,2,GA,8424593.394,2801998.32,4894461.17,72060,4289,FALSE
13,3,GA,9326274.377,3219762.05,5832710.21,72060,4289,FALSE
13,4,GA,7297967.439,2587528.64,4028179.19,72060,4289,FALSE
13,5,GA,9428558.135,3034701.41,5283107.21,72060,4289,FALSE
13,6,GA,10209110.25,3833710.03,5767047.36,72060,4289,FALSE
13,7,GA,9000600.666,3357923.29,4483705.21,72060,4289,FALSE
13,8,GA,9585797.735,3534780.22,5315166.88,72060,4289,FALSE
13,9,GA,10798613.39,3467426.2,5500699.91,72060,4289,FALSE
13,10,GA,8107707.296,2566820.52,4730171.69,72060,4289,FALSE
13,11,GA,8260230.691,1273073.15,4878805.11,72060,4289,FALSE
13,12,GA,12455399.89,3101491.36,7126149.09,72060,4289,FALSE
14,1,GA,17456831.41,4960694.27,9075763.34,162110,4414,FALSE
14,2,GA,13202113.89,3773272.56,7287471.7,162110,4414,FALSE
14,3,GA,14953493.24,5018139.66,7916567.83,162110,4414,FALSE
14,4,GA,13666262.62,4454510.48,6782978.98,162110,4414,FALSE
14,5,GA,18447762.94,3566440.21,10366876.42,162110,4414,FALSE
14,6,GA,17831189.53,4786921.32,10135756.31,162110,4414,FALSE
14,7,GA,13234132.81,4171403.59,6771847.93,162110,4414,FALSE
14,8,GA,14288703.93,3515269.07,8131659.59,162110,4414,FALSE
14,9,GA,22039957.94,5056922.03,11674221.21,162110,4414,FALSE
14,10,GA,21119385.61,4699115.9,11441126.24,162110,4414,FALSE
14,11,GA,16860212.29,4553807.85,9206176.37,162110,4414,FALSE
14,12,GA,24657147.16,5412518.35,13736016.62,162110,4414,FALSE
15,1,CA,11198457.57,2725454.61,4758360.63,85090,4414,FALSE
15,2,CA,12766751.12,2935216.99,6720510.17,85090,4414,FALSE
15,3,CA,12925731.81,3009719.24,5512217.49,85090,4414,FALSE
15,4,CA,9530166.297,2626967.58,4160367.26,85090,4414,FALSE
15,5,CA,10256128.12,2364062.66,5031475.33,85090,4414,FALSE
15,6,CA,10107220.41,3170574.86,4901563.3,85090,4414,FALSE
15,7,CA,9692279.79,2373901.02,5089563.67,85090,4414,FALSE
15,8,CA,10658593.6,2215715.26,5258546.72,85090,4414,FALSE
15,9,CA,12430198.13,3435899.06,6282402.24,85090,4414,FALSE
15,10,CA,9494507.09,2224225.42,5510919.53,85090,4414,FALSE
15,11,CA,9626079.072,2634789.66,5949002.71,85090,4414,FALSE
15,12,CA,11938340.04,3160294.92,6692339.87,85090,4414,FALSE
16,1,NJ,49647378.33,10043345.29,27013052.37,279370,4619,FALSE
16,2,NJ,51275864.39,7822051.39,28883564.01,279370,4619,FALSE
16,3,NJ,63680744.1,10187663.93,36077715,279370,4619,FALSE
16,4,NJ,51574310.33,9679463.28,28768402.29,279370,4619,FALSE
16,5,NJ,45222346.82,7662350.68,25002576.19,279370,4619,FALSE
16,6,NJ,54133531.95,10724824.77,29957205.43,279370,4619,FALSE
16,7,NJ,36639825.63,8209536.45,20724730.34,279370,4619,FALSE
16,8,NJ,45747166.54,8462826.82,24639724.46,279370,4619,FALSE
16,9,NJ,59752607.25,10359163.3,33522462.13,279370,4619,FALSE
16,10,NJ,49050795.76,9133416.83,27685554.94,279370,4619,FALSE
16,11,NJ,46064534.22,8133917.28,26487026.62,279370,4619,FALSE
16,12,NJ,53269159.76,10408606.87,30662205.12,279370,4619,FALSE
17,1,CA,38857366.65,7305868.78,19099651.52,248310,4553,FALSE
17,2,CA,39885102.92,5912907.09,20179680.25,248310,4553,FALSE
17,3,CA,39487638.68,7181750.12,20633933.3,248310,4553,FALSE
17,4,CA,33772081.88,6029813.32,17081917.12,248310,4553,FALSE
17,5,CA,36592113.52,5618850.1,19884099.28,248310,4553,FALSE
17,6,CA,32694061.01,6951327.18,16206704.72,248310,4553,FALSE
17,7,CA,26116751.11,5790018.98,13151568.12,248310,4553,FALSE
17,8,CA,28398907.1,5307369.3,15118093.11,248310,4553,FALSE
17,9,CA,40679843.55,7327907.65,20749944.66,248310,4553,FALSE
17,10,CA,35835888.12,5919403.56,18854756.9,248310,4553,FALSE
17,11,CA,34651985.16,6297299.71,18334170.69,248310,4553,FALSE
17,12,CA,37500940.16,6805484.11,20090723.72,248310,4553,FALSE
18,1,CA,15942639.77,2996040.64,8567873.65,39260,4578,FALSE
18,2,CA,18929157.62,2951461.77,9949244.3,39260,4578,FALSE
18,3,CA,20674324.03,4173968.65,10463350.65,39260,4578,FALSE
18,4,CA,13269049.01,3285453.59,6389483.8,39260,4578,FALSE
18,5,CA,14908896.98,3538335.23,7679742.08,39260,4578,FALSE
18,6,CA,19358429.59,3849911.19,10129189.39,39260,4578,FALSE
18,7,CA,16601994.58,3573512.6,8975095.31,39260,4578,FALSE
18,8,CA,13182366.56,3768931.16,6439259.86,39260,4578,FALSE
18,9,CA,19386449.8,4020739.24,10216508.52,39260,4578,FALSE
18,10,CA,15903212.74,3676989.43,8748254.48,39260,4578,FALSE
18,11,CA,11442859.78,3095657.58,6305517.3,39260,4578,FALSE
18,12,CA,22775886.7,4757788.57,12444832.87,39260,4578,FALSE
19,1,IL,30273856.11,5536430.45,16382601.44,328370,4459,FALSE
19,2,IL,25868685.93,5393625.59,13725257.09,328370,4459,FALSE
19,3,IL,39082196.22,7058566.57,21068635.32,328370,4459,FALSE
19,4,IL,31879202.81,5790118.37,16925005.61,328370,4459,FALSE
19,5,IL,29693241.92,5136798.87,16089840.51,328370,4459,FALSE
19,6,IL,34935437.37,7992759.2,18768270.51,328370,4459,FALSE
19,7,IL,28570428.79,5182054.62,14339391.3,328370,4459,FALSE
19,8,IL,27850886.94,6124851.61,14400858.47,328370,4459,FALSE
19,9,IL,30263061.78,6965747.22,15678352.34,328370,4459,FALSE
19,10,IL,31929918.9,5558172.84,16950720,328370,4459,FALSE
19,11,IL,26602660.61,5550369.33,14374276.89,328370,4459,FALSE
19,12,IL,34376273.77,6280177.7,18421754.22,328370,4459,FALSE
20,1,CA,16909345.52,3165598.24,8559230.61,103830,4572,FALSE
20,2,CA,14880856.42,3448760.5,7389625.95,103830,4572,FALSE
20,3,CA,24533909.31,4185814.05,12438592.34,103830,4572,FALSE
20,4,CA,18379670.87,3422078.46,9128833.18,103830,4572,FALSE
20,5,CA,18943363.74,3008834.67,9909908.5,103830,4572,FALSE
20,6,CA,18798421.26,4383010.66,9722557.01,103830,4572,FALSE
20,7,CA,13951448.76,3848525.94,6705106.41,103830,4572,FALSE
20,8,CA,20841820.32,3096102.55,9026130.3,103830,4572,FALSE
20,9,CA,24149534.41,4475719.11,11800089.79,103830,4572,FALSE
20,10,CA,14661280.59,3682452.11,7501954.73,103830,4572,FALSE
20,11,CA,16448637.37,4166653.83,7947371.24,103830,4572,FALSE
20,12,CA,17923476.4,5234384.78,8879485.55,103830,4572,FALSE
21,1,TX,23335800.16,5775255.85,11775918.86,0,4594,TRUE
21,2,TX,25510232.96,4298877.12,13166201.02,0,4594,TRUE
21,3,TX,28558301.43,5635876.92,14261133.22,0,4594,TRUE
21,4,TX,23139028.75,4827677.76,11722617.63,0,4594,TRUE
21,5,TX,28310058.17,5167744.3,14171988.25,0,4594,TRUE
21,6,TX,27616485.44,6776911.52,15214298.69,0,4594,TRUE
21,7,TX,18735297.24,4977131.73,8889110.85,0,4594,TRUE
21,8,TX,23809357.56,5276961.29,11724409.05,0,4594,TRUE
21,9,TX,36536793.65,5616561.52,18364786.82,0,4594,TRUE
21,10,TX,24412793.36,5566542.47,12810723.29,0,4594,TRUE
21,11,TX,24290221.38,4753974.92,12611818.07,0,4594,TRUE
21,12,TX,35328636.6,6310274.05,18853393.08,0,4594,TRUE
22,1,CO,29194957.45,6555967.14,14987562.64,192180,4511,FALSE
22,2,CO,28020264.87,5753307.1,14813883.86,192180,4511,FALSE
22,3,CO,38185836.64,5974632.92,19308353.13,192180,4511,FALSE
22,4,CO,25118044.32,5340568.71,12864151.08,192180,4511,FALSE
22,5,CO,26328073.83,4962611.02,13482150.73,192180,4511,FALSE
22,6,CO,30178316.11,6452630.83,15009421.24,192180,4511,FALSE
22,7,CO,27319586.8,5302157.43,12784094.63,192180,4511,FALSE
22,8,CO,28076395.35,6322127.53,15135138.38,192180,4511,FALSE
22,9,CO,30399138.5,6850343.83,15447840.4,192180,4511,FALSE
22,10,CO,25701785.85,5367179.03,13223309.63,192180,4511,FALSE
22,11,CO,25644248.73,4252770.56,13336428.2,192180,4511,FALSE
22,12,CO,30808648.57,4902747.82,16076507.38,192180,4511,FALSE
23,1,TX,23688345.46,4597511.05,11077415.5,107520,4581,FALSE
23,2,TX,26325549.46,4947022.55,12175356.47,107520,4581,FALSE
23,3,TX,29400500.77,5673860.28,15249118.45,107520,4581,FALSE
23,4,TX,23747903.27,4568456.46,11323389.14,107520,4581,FALSE
23,5,TX,22002169.34,4020406.49,11808023.33,107520,4581,FALSE
23,6,TX,28112505.6,5396709.64,13802467.21,107520,4581,FALSE
23,7,TX,20204682.63,4378891.01,10085929.12,107520,4581,FALSE
23,8,TX,25903298.31,4473523.03,12589524.07,107520,4581,FALSE
23,9,TX,25227155.93,5424327.53,12672500.78,107520,4581,FALSE
23,10,TX,20662561.06,4917198.56,10159172.03,107520,4581,FALSE
23,11,TX,24504323.68,5637515.1,11532469.67,107520,4581,FALSE
23,12,TX,23337669.16,5865729.72,11826100.59,107520,4581,FALSE
24,1,TX,17756200.32,4390920.08,9288657.39,83800,4411,FALSE
24,2,TX,15353637.22,3464521.3,7735822.96,83800,4411,FALSE
24,3,TX,13818649.08,3830370.42,7080993.26,83800,4411,FALSE
24,4,TX,14417841.64,3341491.28,7280711.41,83800,4411,FALSE
24,5,TX,15966139.37,3874473.53,8309087.11,83800,4411,FALSE
24,6,TX,16116717.71,4847927.02,7481995.35,83800,4411,FALSE
24,7,TX,8458020.625,3078809.36,3939353.8,83800,4411,FALSE
24,8,TX,13308401.48,3810154.26,6772803.58,83800,4411,FALSE
24,9,TX,17765835.32,4531997.45,8547574.63,83800,4411,FALSE
24,10,TX,15389541.13,3847483.03,7338396.52,83800,4411,FALSE
24,11,TX,13155499.05,3107297.93,6067195.21,83800,4411,FALSE
24,12,TX,16126016.16,4791581.76,7669047.57,83800,4411,FALSE
25,1,TX,27247626.04,5425889.27,15614836.13,107350,4393,FALSE
25,2,TX,20986463.09,5590521.25,12228840.92,107350,4393,FALSE
25,3,TX,25641102.03,5481111.85,15655876.7,107350,4393,FALSE
25,4,TX,19800353.77,4129263.85,11400054.49,107350,4393,FALSE
25,5,TX,23258665.38,4992316.09,14123177.6,107350,4393,FALSE
25,6,TX,29251111.64,6580476.66,16385346.03,107350,4393,FALSE
25,7,TX,25292920.89,5617860.39,13732781.87,107350,4393,FALSE
25,8,TX,22338029.19,5293321.01,12009517.95,107350,4393,FALSE
25,9,TX,26194927.68,6936053.84,14361034.17,107350,4393,FALSE
25,10,TX,24067449.31,5525013.79,12731770.98,107350,4393,FALSE
25,11,TX,21050766.62,5360442.33,10731943.02,107350,4393,FALSE
25,12,TX,33887580.87,6638778.53,17259820.27,107350,4393,FALSE
26,1,GA,18547885.84,4678534.52,10216496.73,110580,4561,FALSE
26,2,GA,23990295.47,4273850.38,12938937.39,110580,4561,FALSE
26,3,GA,27296914.24,5638664.17,14628455.24,110580,4561,FALSE
26,4,GA,18293466.96,4862521.97,9578845.96,110580,4561,FALSE
26,5,GA,18601247.2,4364990.14,9935725.64,110580,4561,FALSE
26,6,GA,21004253.97,5312496.65,11513441.58,110580,4561,FALSE
26,7,GA,18530369.47,4619899.14,9954819.53,110580,4561,FALSE
26,8,GA,20796094.17,4166995.34,10352919.83,110580,4561,FALSE
26,9,GA,27096579.65,5212947.73,14107912.29,110580,4561,FALSE
26,10,GA,20701829.18,4304459.24,11227026.52,110580,4561,FALSE
26,11,GA,12517483.5,4744033.9,6797570.1,110580,4561,FALSE
26,12,GA,18027816.71,4680273.68,9588566.5,110580,4561,FALSE
27,1,IL,13962429.75,4221586.29,7222314.42,128690,4480,FALSE
27,2,IL,18189826.2,3956575.33,9476433.38,128690,4480,FALSE
27,3,IL,24324395.67,5186134.58,13544528.75,128690,4480,FALSE
27,4,IL,18557268.31,4204423.89,10069757.07,128690,4480,FALSE
27,5,IL,17131587,4312428.06,9051368.69,128690,4480,FALSE
27,6,IL,23849098.04,5320576.34,12224051.16,128690,4480,FALSE
27,7,IL,17029867.34,4137869.81,9013194.72,128690,4480,FALSE
27,8,IL,19923821.9,3954849.32,10120454.22,128690,4480,FALSE
27,9,IL,20709173.6,4793933.43,10548763.1,128690,4480,FALSE
27,10,IL,19288486.79,4537358.85,10320386.62,128690,4480,FALSE
27,11,IL,15962323.55,5475193.9,8346686.34,128690,4480,FALSE
27,12,IL,24557568.5,5472284.46,13043300.2,128690,4480,FALSE
28,1,GA,33163400.14,5830888.75,20154095.49,47390,4523,FALSE
28,2,GA,31237944,6503755.2,18172621.89,47390,4523,FALSE
28,3,GA,27623282.03,6176595.73,17389550.85,47390,4523,FALSE
28,4,GA,21228670.28,4604444.04,13112933.48,47390,4523,FALSE
28,5,GA,25977763.89,5664034.01,15021232.01,47390,4523,FALSE
28,6,GA,27254286.42,6662136.05,15428830.55,47390,4523,FALSE
28,7,GA,15201937.52,5579931.4,9180039.04,47390,4523,FALSE
28,8,GA,24139754.51,5291674.29,14441890.61,47390,4523,FALSE
28,9,GA,22982942.89,7161324.4,13474537.95,47390,4523,FALSE
28,10,GA,22602009.86,4659877.75,12823179.01,47390,4523,FALSE
28,11,GA,20226886.53,5092030.77,11536566.63,47390,4523,FALSE
28,12,GA,30211918.32,7053305.72,19168489.42,47390,4523,FALSE
29,1,NJ,24646732.57,5345846.72,14132624.49,146200,4454,FALSE
29,2,NJ,24460892.78,4898245.8,13316981.1,146200,4454,FALSE
29,3,NJ,31375407.67,6080312.74,18704032.16,146200,4454,FALSE
29,4,NJ,20783452.35,4587511.84,12532636.12,146200,4454,FALSE
29,5,NJ,21228128.09,4376584.53,12909152.52,146200,4454,FALSE
29,6,NJ,22472638.84,5601391.79,14283931.63,146200,4454,FALSE
29,7,NJ,21402127.41,4622387.91,12703420.4,146200,4454,FALSE
29,8,NJ,22220509.91,4648452.77,12842530.15,146200,4454,FALSE
29,9,NJ,22843310.53,5281765.65,13623993.9,146200,4454,FALSE
29,10,NJ,17505016.9,4079524.7,11247692.25,146200,4454,FALSE
29,11,NJ,13737898.71,3681418.12,9122634.31,146200,4454,FALSE
29,12,NJ,17463752.31,5343320.11,11931610.75,146200,4454,FALSE
30,1,TX,28842469.34,6737860.2,15354575.56,164580,4569,FALSE
30,2,TX,33730669.62,6935006.79,17571012.76,164580,4569,FALSE
30,3,TX,45558422.85,7357068.33,24757977.99,164580,4569,FALSE
30,4,TX,36306241.73,6118702.48,19271315.28,164580,4569,FALSE
30,5,TX,35235779.1,6293186.88,19068729.79,164580,4569,FALSE
30,6,TX,46254849.3,8083416.95,23680418.75,164580,4569,FALSE
30,7,TX,40606926.53,7097127.63,21013961.17,164580,4569,FALSE
30,8,TX,37637575.49,7140987.9,19204918.01,164580,4569,FALSE
30,9,TX,48027858.14,7324831.23,24652530.12,164580,4569,FALSE
30,10,TX,40282517.31,6793621.28,21160674.78,164580,4569,FALSE
30,11,TX,43048789.67,6354012.16,22746347.53,164580,4569,FALSE
30,12,TX,40752892.4,7506485.66,20666011.45,164580,4569,FALSE
31,1,CA,28618061.18,5870499.69,14694815.52,0,4666,TRUE
31,2,CA,32019912.3,5246023.09,16411287.5,0,4666,TRUE
31,3,CA,31996880.14,5678402.67,16595922.33,0,4666,TRUE
31,4,CA,26408052.06,4725134.19,12337149.85,0,4666,TRUE
31,5,CA,27021801.61,4713109.7,13566940.31,0,4666,TRUE
31,6,CA,33377238.24,5698273.94,16068451.57,0,4666,TRUE
31,7,CA,25303487.93,4972081.74,12913626.88,0,4666,TRUE
31,8,CA,29645828.85,4906922.47,14102674.77,0,4666,TRUE
31,9,CA,36483022.31,6110630.86,21297283.21,0,4666,TRUE
31,10,CA,28596318.21,4391193.91,16816361.86,0,4666,TRUE
31,11,CA,22616126.22,4691149.11,13214500.26,0,4666,TRUE
31,12,CA,39865103.24,6258016.86,21040169.05,0,4666,TRUE
32,1,TX,24220233.09,6711675.08,13470252.47,190340,4275,FALSE
32,2,TX,27738611.54,7259758.29,16464306.29,190340,4275,FALSE
32,3,TX,35542595.18,7230825.6,20978106.52,190340,4275,FALSE
32,4,TX,21748817.97,5836321.88,12736750.32,190340,4275,FALSE
32,5,TX,26101214.11,6246604.79,15506309.73,190340,4275,FALSE
32,6,TX,33139808.9,8218862.61,19541928.62,190340,4275,FALSE
32,7,TX,20238280.58,5640226.03,10734843.61,190340,4275,FALSE
32,8,TX,23079974.7,6265764.91,13765294.41,190340,4275,FALSE
32,9,TX,36220570.72,7305651.54,21448759.44,190340,4275,FALSE
32,10,TX,29450405.3,5632611.61,16965400.87,190340,4275,FALSE
32,11,TX,28231103.63,6949760.06,17112623.79,190340,4275,FALSE
32,12,TX,36230550.2,7350075.44,21998684.2,190340,4275,FALSE
33,1,GA,48958214.02,10572767.79,27436876.6,287920,4552,FALSE
33,2,GA,48934741.86,9519560.82,27914920.34,287920,4552,FALSE
33,3,GA,55587805.61,12118545.64,31394663.87,287920,4552,FALSE
